CODGEO,LIBGEO,part_employes
Échenevex,11.8,35.5
Évosges,0,34.6
Faramans,5.3,10.1
Fareins,6.6,16.4
Farges,22.7,11
Feillens,7.8,18.2
Ferney-Voltaire,15.7,38.8
Flaxieu,0,0
Foissiat,2.1,16.9
Francheleins,11.3,33
Frans,12.3,20.9
Garnerans,18.3,12.8
Genouilleux,0,16.5
Béard-Géovreissiat,4.9,19.5
Géovreisset,0,22
Gex,15.1,35.2
Giron,5.7,16
Gorrevod,13,10.8
Grand-Corent,0,0
Grièges,6.4,18.3
Grilly,13.1,29.4
Groissiat,8.2,13.3
Guéreins,6.9,10.8
Hautecourt-Romanèche,20.7,16.1
Plateau d'Hauteville,10.2,40.8
Haut Valromey,6.8,15.5
Illiat,11.8,24.2
Injoux-Génissiat,6.6,15.4
Innimond,32.3,35.3
Izenave,0,16.1
Izernore,16.2,9.6
Izieu,0,0
Jassans-Riottier,11,32.2
Jasseron,5.9,32.9
Jayat,4.4,45.5
Journans,12.4,12.4
Joyeux,0,33.2
Jujurieux,10.5,26.1
Labalme,0,33.3
Lagnieu,13.8,25
Laiz,1.8,24.7
Le Poizat-Lalleyriat,0,16.5
Lantenay,50,27.6
Lapeyrouse,8.2,5.4
Lavours,0,100
Léaz,10.4,42.9
Lélex,10,29.5
Lent,18.1,13.1
Lescheroux,3.8,11.7
Leyment,24.1,13.7
Leyssard,100,0
Surjoux-Lhopital,0,24.9
Lhuis,8.5,15
Lompnas,0,0
Loyettes,10.5,14.1
Lurcy,0,0
Magnieu,0,17.8
Maillat,9.2,23.6
Malafretaz,4.1,25.7
Mantenay-Montlin,0,19.6
Manziat,11.4,8.6
Marboz,8.2,22.7
Marchamp,N/A - division par 0,N/A - division par 0
Marignieu,0,0
Marlieux,8.4,14.9
Marsonnas,6.3,19
Martignat,6.3,10.1
Massieux,9.7,25.8
Massignieu-de-Rives,6.5,6.9
Matafelon-Granges,14.4,20
Meillonnas,5,24.3
Mérignat,20.7,0
Messimy-sur-Saône,17.5,3.6
Meximieux,9.2,34.9
Bohas-Meyriat-Rignat,7,28.2
Mézériat,6,22.5
Mijoux,0,23.3
Mionnay,8.5,24.9
Miribel,17.8,19.5
Misérieux,23.4,23.9
Mogneneins,16.7,33.3
Montagnat,13,19.7
Montagnieu,0,56.5
Montanges,5.2,18.8
Montceaux,7.4,30.7
Montcet,0,10.9
Le Montellier,0,11
Monthieux,4.9,18.9
Montluel,21,25.3
Montmerle-sur-Saône,12.9,23.2
Montracol,0,33.9
Montréal-la-Cluse,9.7,20
Montrevel-en-Bresse,10.4,41.4
Nurieux-Volognat,14.3,7.7
Murs-et-Gélignieux,0,0
Nantua,16.6,30.9
Neuville-les-Dames,4.3,37.2
Neuville-sur-Ain,10.9,41.8
Les Neyrolles,3.1,19.7
Neyron,27.5,16.2
Niévroz,13.5,25.4
Nivollet-Montgriffon,N/A - division par 0,N/A - division par 0
Oncieu,0,100
Ordonnaz,0,0
Ornex,11.5,37.6
Outriaz,5.8,2.9
Oyonnax,12,21.8
Ozan,2.7,32.9
Parcieux,26.3,21.9
Parves et Nattages,17.9,26.7
Péron,19.1,34.2
Péronnas,7.8,26.1
Pérouges,12.3,27.5
Perrex,16.4,10
Peyriat,0,37.6
Peyrieu,8.4,35.9
Peyzieux-sur-Saône,16.8,32.7
Pirajoux,20.2,21.6
Pizay,17.1,16.8
Plagne,0,0
Le Plantay,0,35.1
Polliat,8.6,15.8
Pollieu,0,0
Poncin,14.7,19.6
Pont-d'Ain,12.5,22.2
Pont-de-Vaux,8.8,29.8
Pont-de-Veyle,13.3,39.6
Port,8.8,23.5
Pougny,0,26.6
Pouillat,0,0
Prémeyzel,8.2,39.1
Prémillieu,0,0
Prévessin-Moëns,27.9,25.8
Priay,15.2,17.8
Ramasse,0,50.8
Rancé,16.6,5.8
Relevant,0,7.5
Replonges,6.9,32.5
Revonnas,8.3,8.6
Reyrieux,16.5,24.3
Reyssouze,5.2,4.7
Rignieux-le-Franc,0,23
Romans,12.6,46.1
Rossillon,0,0
Ruffieu,0,0
Saint-Alban,0,0
Saint-André-de-Bâgé,3.6,18.9
Saint-André-de-Corcy,17.8,23.4
Saint-André-d'Huiriat,12,29
Saint-André-le-Bouchoux,6.9,12.9
Saint-André-sur-Vieux-Jonc,11.1,22.5
Saint-Bénigne,2.1,27.1
Groslée-Saint-Benoit,8.4,13.7
Saint-Bernard,10.3,47.1
Sainte-Croix,26.3,20.9
Saint-Cyr-sur-Menthon,6.6,4.3
Saint-Denis-lès-Bourg,15.2,27.2
Saint-Denis-en-Bugey,5,37.2
Saint-Didier-d'Aussiat,7.4,7.2
Saint-Didier-de-Formans,8.1,29
Saint-Didier-sur-Chalaronne,9.3,16.3
Saint-Éloi,0,38.6
Saint-Étienne-du-Bois,5,30
Saint-Étienne-sur-Chalaronne,11.5,28.6
Saint-Étienne-sur-Reyssouze,0,17.4
Sainte-Euphémie,5,30.8
Saint-Genis-Pouilly,17.7,30.2
Saint-Genis-sur-Menthon,17.5,8.7
Saint-Georges-sur-Renon,19,21.1
Saint-Germain-de-Joux,21.8,16.9
Saint-Germain-les-Paroisses,0,50.2
Saint-Germain-sur-Renon,0,37.5
Saint-Jean-de-Gonville,9.9,28.5
Saint-Jean-de-Niost,9.3,21
Saint-Jean-de-Thurigneux,4.9,30.1
Saint-Jean-le-Vieux,2.1,19.3
Saint-Jean-sur-Reyssouze,7.2,18.1
Saint-Jean-sur-Veyle,2.6,24.2
Sainte-Julie,59.4,12.8
Saint-Julien-sur-Reyssouze,5.4,18.2
Saint-Julien-sur-Veyle,0,21.2
Saint-Just,6.4,26.3
Saint-Laurent-sur-Saône,6.7,37.5
Saint-Marcel,6.6,52.9
Saint-Martin-de-Bavel,13.9,29.6
Saint-Martin-du-Frêne,6.8,13.5
Saint-Martin-du-Mont,3.8,14.5
Saint-Martin-le-Châtel,0,14.7
Saint-Maurice-de-Beynost,22.6,15.4
Saint-Maurice-de-Gourdans,4.9,29.8
Saint-Maurice-de-Rémens,15.7,37.2
Saint-Nizier-le-Bouchoux,0,24.6
Saint-Nizier-le-Désert,0,28.5
Sainte-Olive,8.2,0
Saint-Paul-de-Varax,0,37
Saint-Rambert-en-Bugey,7.6,38.6
Saint-Rémy,5.8,15.3
Saint-Sorlin-en-Bugey,21.8,19.7
Saint-Sulpice,0,25
Saint-Trivier-de-Courtes,11,34.7
Saint-Trivier-sur-Moignans,16,28.7
Saint-Vulbas,14.7,10.7
Salavre,5.7,0
Samognat,0,83.1
Sandrans,16.2,25.9
Sault-Brénaz,6.9,21.8
Sauverny,27.8,30.4
Savigneux,1.5,11
Ségny,6.9,48.6
Seillonnaz,0,0
Sergy,34.4,19.3
Sermoyer,0,6.3
Serrières-de-Briord,13.6,25.6
Serrières-sur-Ain,0,0
Servas,9,17.4
Servignat,0,31.2
Seyssel,6.6,32.1
Simandre-sur-Suran,2.6,22.8
Sonthonnax-la-Montagne,0,25.4
Souclin,13.6,62.3
Sulignat,16.9,12.5
Talissieu,3.7,42.7
Tenay,13.8,32.6
Thil,16,25.4
Thoiry,7.6,41.4
Thoissey,15.9,36.4
Torcieu,4,10
Tossiat,6.2,19.5
Toussieux,4.9,28.8
Tramoyes,13.7,20.9
La Tranclière,29.8,9.7
Val-Revermont,5.1,13.2
Trévoux,19,21.9
Valeins,0,0
Vandeins,0,15.7
Varambon,13.4,21.9
Vaux-en-Bugey,12.2,13.8
Verjon,0,13.8
Vernoux,5.5,5.5
Versailleux,4.7,33.4
Versonnex,13.3,25.9
Vesancy,21,56.7
Vescours,0,0
Vésines,0,0
Vieu-d'Izenave,7.9,18.3
Villars-les-Dombes,13.6,26.6
Villebois,8.2,36.3
Villemotier,0,42.1
Villeneuve,5.8,14.3
Villereversure,2.3,24
Villes,14.7,22.9
Villette-sur-Ain,5.6,4.6
Villieu-Loyes-Mollon,10.2,25.2
Viriat,10.4,28.3
Virieu-le-Grand,3.7,16.6
Arvière-en-Valromey,11.7,34.9
Virignin,6.1,17.7
Vongnes,0,39.7
Vonnas,9.3,20.9
Abbécourt,18.3,7.6
Achery,10.2,19.9
Acy,14.1,25.7
Agnicourt-et-Séchelles,0,50
Aguilcourt,19.8,0
Aisonville-et-Bernoville,0,42.9
Aizelles,0,0
Aizy-Jouy,0,24.7
Alaincourt,0,38
Allemant,0,43.6
Ambleny,4.4,23
Ambrief,0,0
Amifontaine,0,26.6
Amigny-Rouy,0,14.2
Ancienville,N/A - division par 0,N/A - division par 0
Andelain,0,28.7
Anguilcourt-le-Sart,0,0
Anizy-le-Grand,13.1,27.6
Annois,0,13.8
Any-Martin-Rieux,0,21.6
Archon,0,0
Arcy-Sainte-Restitue,0,26.4
Armentières-sur-Ourcq,0,0
Arrancy,N/A - division par 0,N/A - division par 0
Artemps,0,0
Assis-sur-Serre,0,17.7
Athies-sous-Laon,10.8,16.4
Attilly,0,20.8
Aubencheul-aux-Bois,0,24.1
Aubenton,0,43.8
Aubigny-aux-Kaisnes,11.9,33.8
Aubigny-en-Laonnois,0,50
Audignicourt,0,0
Audigny,0,12.3
Augy,0,0
Aulnois-sous-Laon,9.8,36.3
Les Autels,0,0
Autremencourt,0,0
Autreppes,0,33.2
Autreville,0,65.6
Azy-sur-Marne,20.6,6.8
Bagneux,100,0
Bancigny,0,0
Barenton-Bugny,24.6,21.6
Barenton-Cel,0,25
Barenton-sur-Serre,N/A - division par 0,N/A - division par 0
Barisis-aux-Bois,5.9,25.4
Barzy-en-Thiérache,0,40
Barzy-sur-Marne,0,17.8
Bassoles-Aulers,0,32.3
Vallées en Champagne,0,0
Bazoches-et-Saint-Thibaut,0,38.5
Beaumé,33.2,0
Beaumont-en-Beine,0,0
Beaurevoir,11,31.2
Beaurieux,2.5,42.6
Beautor,3.7,29.9
Beauvois-en-Vermandois,7.4,7.4
Becquigny,0,65.9
Belleau,33.7,34.3
Bellenglise,0,40.3
Belleu,11.1,34.4
Bellicourt,7.4,27.6
Benay,0,9.4
Bergues-sur-Sambre,0,25
Berlancourt,0,25.9
Berlise,0,0
Bernot,0,33.5
Berny-Rivière,2.5,30
Berrieux,0,0
Berry-au-Bac,11,26.6
Bertaucourt-Epourdon,0,12.7
Berthenicourt,N/A - division par 0,N/A - division par 0
Bertricourt,0,55.5
Besmé,0,0
Besmont,0,25
Besny-et-Loizy,0,66.6
Béthancourt-en-Vaux,0,17.1
Beugneux,0,0
Beuvardes,5.7,16.6
Bézu-le-Guéry,0,17.4
Bézu-Saint-Germain,3.5,20.2
Bichancourt,0,39.1
Bieuxy,N/A - division par 0,N/A - division par 0
Bièvres,0,100
Billy-sur-Aisne,4.2,10.9
Billy-sur-Ourcq,0,0
Blanzy-lès-Fismes,0,0
Blérancourt,9.2,29.2
Blesmes,0,15.8
Bohain-en-Vermandois,10,35.9
Bois-lès-Pargny,0,0
Boncourt,0,9.5
Bonneil,20.3,26.2
Bonnesvalyn,0,0
Bony,0,19.2
Bosmont-sur-Serre,0,50
Bouconville-Vauclair,9.8,19.2
Boué,9.2,7.6
Bouffignereux,0,0
Bouresches,0,20.1
Bourg-et-Comin,2.1,60.7
Bourguignon-sous-Coucy,0,50
Bourguignon-sous-Montbavin,0,0
La Bouteille,0,13.7
Braine,11.7,34.5
Brancourt-en-Laonnois,0,44.7
Brancourt-le-Grand,1.6,29.9
Brasles,3.9,40.8
Braye-en-Laonnois,23.7,0
Braye-en-Thiérache,0,24.1
Bray-Saint-Christophe,33.6,0
Braye,N/A - division par 0,N/A - division par 0
Brécy,10.4,10.1
Brenelle,0,20.5
Breny,11.7,23.4
Brie,0,50
Brissay-Choigny,0,29.8
Brissy-Hamégicourt,16.7,16.7
Brumetz,0,66.6
Brunehamel,15.1,29.6
Bruyères-sur-Fère,27.5,53.4
Bruyères-et-Montbérault,4.9,26.5
Bruys,0,0
Bucilly,0,50.2
Bucy-le-Long,8.5,13.2
Bucy-lès-Cerny,0,50
Bucy-lès-Pierrepont,0,24.9
Buire,2.5,49.5
Buironfosse,2.5,23.2
Burelles,0,46.8
Bussiares,0,0
Buzancy,19.3,11.9
Caillouël-Crépigny,8.6,8.9
Camelin,0,7.4
La Capelle,10.4,35
Castres,0,0
Le Catelet,4,67.9
Caulaincourt,0,0
Caumont,0,31.6
Celles-lès-Condé,0,66.7
Celles-sur-Aisne,0,100
Cerizy,0,0
Cerny-en-Laonnois,0,100
Cerny-lès-Bucy,N/A - division par 0,N/A - division par 0
Cerseuil,0,12.4
Cessières-Suzy,12.8,11.9
Chacrise,7.7,15.9
Chaillevois,0,48.4
Chalandry,0,0
Chambry,7.7,38.6
Chamouille,4.6,43.2
Champs,0,0
Chaourse,8.1,25.1
La Chapelle-sur-Chézy,0,66.5
Charly-sur-Marne,7.7,30.5
Le Charmel,0,0
Charmes,12.2,18.6
Chartèves,50.2,0
Chassemy,0,26.9
Château-Thierry,11.1,31.7
Châtillon-lès-Sons,0,0
Châtillon-sur-Oise,0,0
Chaudardes,0,0
Chaudun,0,12
Chauny,11.8,35.6
Chavignon,6.5,23.8
Chavigny,0,33.3
Chavonne,100,0
Chérêt,50,0
Chermizy-Ailles,0,24
Chéry-Chartreuve,0,20.7
Chéry-lès-Pouilly,0,15.6
Chéry-lès-Rozoy,0,0
Chevennes,0,0
Chevregny,0,40
Chevresis-Monceau,0,73.1
Chézy-en-Orxois,0,0
Chézy-sur-Marne,10.5,25.4
Chierry,11.8,10.8
Chigny,0,0
Chivres-en-Laonnois,0,0
Chivres-Val,0,25
Chivy-lès-Étouvelles,13.1,9.9
Chouy,0,0
Cierges,33.3,0
Cilly,0,20.4
Ciry-Salsogne,9.1,10.8
Clacy-et-Thierret,15.3,25.2
Clairfontaine,0,25.2
Clamecy,0,0
Clastres,0,34.7
Clermont-les-Fermes,0,47.5
Cœuvres-et-Valsery,8.1,38
Coincy,2.8,41.9
Coingt,0,0
Colligis-Crandelain,0,66.7
Colonfay,N/A - division par 0,N/A - division par 0
Commenchon,0,100
Concevreux,0,31
Condé-en-Brie,6.5,27.3
Condé-sur-Aisne,0,0
Condé-sur-Suippe,6.8,28.3
Condren,2.1,27.1
Connigis,0,22.2
Contescourt,0,0
Corbeny,9.9,29.1
Corcy,0,51.4
Coucy-le-Château-Auffrique,6.3,43.6
Coucy-lès-Eppes,6.2,51.2
Coucy-la-Ville,14.3,26.3
Coulonges-Cohan,0,29.1
Coupru,0,50
Courbes,0,0
Courboin,0,16.6
Courcelles-sur-Vesle,13.6,48.3
Courchamps,0,0
Courmelles,12.9,20.9
Courmont,0,50
Courtemont-Varennes,5.3,37.1
Courtrizy-et-Fussigny,0,50
Couvrelles,0,0
Couvron-et-Aumencourt,0,19.8
Coyolles,4.2,39.8
Cramaille,10,9.9
Craonne,0,15.8
Craonnelle,0,0
Crécy-au-Mont,0,31.3
Crécy-sur-Serre,9.8,36.8
Crépy,5.5,41.1
Crézancy,14.2,15.1
Croix-Fonsomme,0,19.8
La Croix-sur-Ourcq,0,49.3
Crouttes-sur-Marne,5.8,18.5
Crouy,4.6,29.9
Crupilly,0,0
Cuffies,16.1,19.5
Cugny,0,33.9
Cuirieux,0,0
Cuiry-Housse,0,100
Cuiry-lès-Chaudardes,N/A - division par 0,N/A - division par 0
Cuiry-lès-Iviers,N/A - division par 0,N/A - division par 0
Cuissy-et-Geny,N/A - division par 0,N/A - division par 0
Cuisy-en-Almont,0,0
Cutry,0,100
Cys-la-Commune,0,48.2
Dagny-Lambercy,0,0
Dallon,30.9,30.9
Dammard,7.9,27
Dampleux,0,22.9
Danizy,0,0
Dercy,0,23.2
Deuillet,0,0
Dhuizel,0,0
Dizy-le-Gros,0,10
Dohis,0,0
Dolignon,0,0
Dommiers,23.2,0
Domptin,0,20.1
Dorengt,0,24.6
Douchy,0,20.5
Dravegny,0,0
Droizy,0,74.5
Dury,0,0
Ébouleau,0,25
Effry,0,9.3
Englancourt,0,25
Épagny,0,44.7
Éparcy,0,0
Épaux-Bézu,9.6,11.6
Épieds,0,20.2
L'Épine-aux-Bois,0,0
Eppes,0,20.1
Erlon,0,0
Erloy,0,0
Esquéhéries,0,34.6
Essigny-le-Grand,3.8,25.9
Essigny-le-Petit,0,19.2
Essises,0,0
Essômes-sur-Marne,2.6,19.3
Estrées,0,11.8
Étampes-sur-Marne,15.1,32.2
Étaves-et-Bocquiaux,4.9,63.4
Étouvelles,5.4,8.1
Étréaupont,2.8,24.3
Étreillers,2.6,44.8
Étrépilly,0,36.2
Étreux,2.9,40.2
Évergnicourt,8.5,8.4
Faverolles,0,23.2
Fayet,6,58
La Fère,9.6,44
Fère-en-Tardenois,9.7,31.8
La Ferté-Chevresis,0,38.1
La Ferté-Milon,9.3,28.8
Fesmy-le-Sart,0,24.7
Festieux,0,48.4
Fieulaine,0,16.3
Filain,0,53
La Flamengrie,4,25.4
Flavigny-le-Grand-et-Beaurain,0,25.3
Flavy-le-Martel,13.3,41.9
Fleury,0,0
Fluquières,0,50
Folembray,9.8,16
Fonsomme,0,22.1
Fontaine-lès-Clercs,0,24.7
Fontaine-lès-Vervins,16.6,19.8
Fontaine-Notre-Dame,0,20.2
Fontaine-Uterte,0,0
Fontenelle,0,26.1
Fontenoy,0,0
Foreste,0,15
Fossoy,14.7,28.5
Fourdrain,12.4,34.5
Francilly-Selency,0,37.2
Franqueville,0,100
Fresnes-en-Tardenois,8.2,32.6
Fresnes-sous-Coucy,0,0
Fresnoy-le-Grand,13,17.5
Fressancourt,0,49.1
Frières-Faillouël,0,37.3
Froidestrées,0,0
Froidmont-Cohartille,0,0
Gandelu,18.8,37.3
Gauchy,9,23
Gercy,0,34.6
Gergny,0,0
Germaine,0,33
Gibercourt,0,0
Gizy,5.6,20.7
Gland,0,16.7
Goudelancourt-lès-Berrieux,50,50
Goudelancourt-lès-Pierrepont,0,0
Goussancourt,N/A - division par 0,N/A - division par 0
Gouy,11.8,30.1
Grandlup-et-Fay,0,8.1
Grandrieux,0,0
Gricourt,8.6,25.7
Grisolles,16.2,13.7
Gronard,0,0
Grougis,0,48.6
Grugies,0,17.2
Villeneuve-sur-Aisne,11.3,24.5
Guise,5,36.1
Guivry,9.9,39.3
Guny,3.8,12.3
Guyencourt,19.6,20.5
Hannapes,20.2,19.8
Happencourt,0,32.6
Haramont,0,16.6
Harcigny,0,39.7
Hargicourt,0,0
Harly,8.7,50.1
Hartennes-et-Taux,5.3,13.6
Hary,19,15.7
Lehaucourt,0,60.2
Hautevesnes,0,0
Hauteville,0,40
Haution,0,24.4
La Hérie,0,0
Le Hérie-la-Viéville,0,19.8
Hinacourt,0,0
Hirson,11.1,35.7
Holnon,5.5,19.8
Homblières,5.6,12
Houry,0,33.3
Housset,0,50.4
Iron,26.3,0
Itancourt,8.2,13.6
Iviers,0,9.8
Jaulgonne,7.2,28.5
Jeancourt,N/A - division par 0,N/A - division par 0
Jeantes,0,20.1
Joncourt,0,0
Jouaignes,0,0
Jumencourt,33.3,0
Jumigny,0,0
Jussy,7.1,18.2
Juvigny,21.8,21.8
Juvincourt-et-Damary,16.9,28.5
Laffaux,0,45.6
Laigny,0,24.6
Lanchy,N/A - division par 0,N/A - division par 0
Landifay-et-Bertaignemont,15.7,0
Landouzy-la-Cour,0,0
Landouzy-la-Ville,0,36.1
Landricourt,0,0
Laniscourt,0,33.3
Laon,14.8,32.5
Lappion,0,16.8
Largny-sur-Automne,11.3,58.6
Latilly,0,0
Launoy,0,29.3
Laval-en-Laonnois,14.5,14.4
Lavaqueresse,0,17.4
Laversine,0,60
Lemé,0,0
Lempire,0,0
Lerzy,0,0
Leschelle,0,12.7
Lesdins,4.8,37.3
Lesges,N/A - division par 0,N/A - division par 0
Lesquielles-Saint-Germain,0,39
Leuilly-sous-Coucy,24.7,0
Leury,0,48.9
Leuze,0,8.7
Levergies,8.4,25
Lhuys,N/A - division par 0,N/A - division par 0
Licy-Clignon,0,0
Lierval,N/A - division par 0,N/A - division par 0
Liesse-Notre-Dame,5.1,36.6
Liez,0,66.7
Limé,0,39.1
Lislet,0,47.3
Logny-lès-Aubenton,0,100
Longpont,0,37.9
Les Septvallons,6.5,37.9
Lor,0,48.9
Louâtre,35.6,23.1
Loupeigne,33.3,0
Lucy-le-Bocage,0,0
Lugny,0,31.9
Luzoir,0,0
Ly-Fontaine,0,0
Maast-et-Violaine,0,0
Mâchecourt,0,62.6
Macogny,0,0
Macquigny,0,14
Magny-la-Fosse,0,0
Maissemy,0,59.4
Maizy,24.5,8.1
La Malmaison,8.9,10
Malzy,0,14.3
Manicamp,0,40.7
Marchais,2.4,24
Dhuys et Morin-en-Brie,14,4.7
Marcy,0,12.1
Marcy-sous-Marle,0,50.3
Marest-Dampcourt,0,0
Mareuil-en-Dôle,0,0
Marfontaine,0,0
Margival,20,30.3
Marigny-en-Orxois,10.1,50.3
Marizy-Sainte-Geneviève,0,0
Marizy-Saint-Mard,0,0
Marle,6.5,32.5
Marly-Gomont,12.2,34.8
Martigny,0,0
Martigny-Courpierre,0,0
Mauregny-en-Haye,7.9,19.9
Mayot,15.8,16.1
Mennessis,0,49.6
Mennevret,12.8,19.3
Mercin-et-Vaux,9.8,22.1
Merlieux-et-Fouquerolles,14.5,29.9
Mesbrecourt-Richecourt,0,0
Mesnil-Saint-Laurent,22,33.2
Meurival,0,0
Mézières-sur-Oise,0,46.2
Mézy-Moulins,9.3,10.6
Missy-aux-Bois,0,8.4
Missy-lès-Pierrepont,0,0
Missy-sur-Aisne,15.6,42.3
Molain,0,59.8
Molinchart,0,0
Monampteuil,0,41
Monceau-le-Neuf-et-Faucouzy,0,24.8
Monceau-lès-Leups,0,39.5
Monceau-le-Waast,10.7,45.1
Monceau-sur-Oise,0,0
Mondrepuis,8,12.6
Monnes,N/A - division par 0,N/A - division par 0
Mons-en-Laonnois,7.7,27.4
Montaigu,10.7,26.3
Montbavin,N/A - division par 0,N/A - division par 0
Montbrehain,8.3,43.2
Montchâlons,0,0
Montcornet,4.2,33.9
Mont-d'Origny,7,52.8
Montescourt-Lizerolles,4.5,32.5
Montfaucon,9.1,0
Montgobert,0,50
Montgru-Saint-Hilaire,8.4,10
Monthenault,0,0
Monthiers,0,20.2
Monthurel,23.6,23.6
Montigny-en-Arrouaise,0,0
Montigny-l'Allier,12.4,34.8
Montigny-le-Franc,0,25
Montigny-Lengrain,14.2,8.7
Montigny-lès-Condé,0,0
Montigny-sous-Marle,0,50
Montigny-sur-Crécy,0,33.3
Montlevon,0,30.6
Montloué,0,66.7
Mont-Notre-Dame,5.8,18.9
Montreuil-aux-Lions,1.9,24.2
Mont-Saint-Jean,0,50
Mont-Saint-Martin,0,0
Mont-Saint-Père,7.9,15.4
Morcourt,5.5,12.4
Morgny-en-Thiérache,0,0
Morsain,0,30.4
Mortefontaine,0,15.8
Mortiers,33.3,0
Moulins,0,100
Moussy-Verneuil,0,0
Moÿ-de-l'Aisne,10.1,23.7
Muret-et-Crouttes,0,0
Muscourt,N/A - division par 0,N/A - division par 0
Nampcelles-la-Cour,0,0
Nampteuil-sous-Muret,0,0
Nanteuil-la-Fosse,0,33.3
Nanteuil-Notre-Dame,0,0
Nauroy,15.3,38.3
Nesles-la-Montagne,16.1,20
Neufchâtel-sur-Aisne,0,43.2
Neuflieux,0,25.2
Neuilly-Saint-Front,17.4,26.4
Neuve-Maison,3,40.1
La Neuville-Bosmont,0,29.9
La Neuville-en-Beine,0,38.4
La Neuville-Housset,0,0
La Neuville-lès-Dorengt,0,26.7
Neuville-Saint-Amand,0,26
Neuville-sur-Ailette,0,50
Neuville-sur-Margival,0,0
Neuvillette,0,25.4
Nizy-le-Comte,0,14
Nogentel,2.9,23.6
Nogent-l'Artaud,4.2,42
Noircourt,0,100
Noroy-sur-Ourcq,N/A - division par 0,N/A - division par 0
Le Nouvion-en-Thiérache,7.4,23.1
Nouvion-et-Catillon,0,27.1
Nouvion-le-Comte,5.8,21.2
Nouvion-le-Vineux,0,100
Nouvron-Vingré,16.2,16.2
Noyales,0,0
Bernoy-le-Château,9.6,0
Œuilly,0,0
Ognes,14.3,12.6
Ohis,0,13.7
Oigny-en-Valois,0,0
Oisy,0,37.7
Ollezy,33.8,0
Omissy,0,31.5
