CODGEO,LIBGEO,part_ouvriers
0,48.6,0
0,17.2,38.5
11.3,24.5,33.2
5,36.1,27.5
9.9,39.3,50.7
3.8,12.3,23
19.6,20.5,23.5
20.2,19.8,19.1
0,32.6,52.7
0,16.6,61.9
0,39.7,0
0,0,44.2
8.7,50.1,16.9
5.3,13.6,61.2
19,15.7,10.7
0,60.2,26.6
0,0,66.8
0,40,20
0,24.4,23.8
0,0,0
0,19.8,50.1
0,0,0
11.1,35.7,24.6
5.5,19.8,44.2
5.6,12,63.1
0,33.3,0
0,50.4,49.6
26.3,0,24.7
8.2,13.6,57.6
0,9.8,49.3
7.2,28.5,21.9
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,20.1,19.9
0,0,20.1
0,0,100
33.3,0,0
0,0,0
7.1,18.2,57
21.8,21.8,41
16.9,28.5,21.1
0,45.6,10.8
0,24.6,26.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
15.7,0,17.3
0,0,0
0,36.1,14.1
0,0,0
0,33.3,0
14.8,32.5,19
0,16.8,0
11.3,58.6,0
0,0,16.1
0,29.3,0
14.5,14.4,14.8
0,17.4,0
0,60,0
0,0,59.3
0,0,0
0,0,25
0,12.7,24.8
4.8,37.3,24.3
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,39,7.8
24.7,0,0
0,48.9,51.1
0,8.7,47.7
8.4,25,33.3
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
5.1,36.6,28.8
0,66.7,0
0,39.1,0
0,47.3,25.9
0,100,0
0,37.9,57.3
6.5,37.9,16.9
0,48.9,25.1
35.6,23.1,18.2
33.3,0,0
0,0,49.9
0,31.9,0
0,0,59.4
0,0,0
0,0,65.8
0,62.6,0
0,0,0
0,14,44.1
0,0,91.4
0,59.4,20.8
24.5,8.1,25.4
8.9,10,40.7
0,14.3,28.6
0,40.7,0
2.4,24,43.3
14,4.7,27.7
0,12.1,63.4
0,50.3,24.5
0,0,51.4
0,0,100
0,0,0
20,30.3,23.3
10.1,50.3,9.3
0,0,0
0,0,0
6.5,32.5,29.1
12.2,34.8,12
0,0,69.2
0,0,0
7.9,19.9,39.1
15.8,16.1,20.6
0,49.6,0
12.8,19.3,30.1
9.8,22.1,36.9
14.5,29.9,20.9
0,0,0
22,33.2,17.6
0,0,0
0,46.2,35.2
9.3,10.6,52.2
0,8.4,67.4
0,0,100
15.6,42.3,15.6
0,59.8,20.1
0,0,44.8
0,41,0
0,24.8,25.6
0,39.5,19.6
10.7,45.1,11
0,0,100
8,12.6,46.4
N/A - division par 0,N/A - division par 0,N/A - division par 0
7.7,27.4,23.2
10.7,26.3,20.9
N/A - division par 0,N/A - division par 0,N/A - division par 0
8.3,43.2,17.1
0,0,100
4.2,33.9,38.2
7,52.8,7
4.5,32.5,27.7
9.1,0,27.4
0,50,0
8.4,10,34.8
0,0,0
0,20.2,0
23.6,23.6,52.8
0,0,85.8
12.4,34.8,22.7
0,25,25
14.2,8.7,60.9
0,0,0
0,50,0
0,33.3,0
0,30.6,17.2
0,66.7,0
5.8,18.9,39.4
1.9,24.2,20.9
0,50,0
0,0,25
7.9,15.4,68.8
5.5,12.4,58.7
0,0,0
0,30.4,39.4
0,15.8,35.6
33.3,0,0
0,100,0
0,0,38.1
10.1,23.7,29.3
0,0,100
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,0
0,0,100
0,33.3,66.7
0,0,100
15.3,38.3,7.5
16.1,20,23.4
0,43.2,43
0,25.2,26.9
17.4,26.4,22.3
3,40.1,29.2
0,29.9,34.9
0,38.4,61.6
0,0,24.5
0,26.7,26.6
0,26,46.3
0,50,25
0,0,50
0,25.4,0
0,14,31.9
2.9,23.6,42.5
4.2,42,20.5
0,100,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
7.4,23.1,43.6
0,27.1,31.8
5.8,21.2,37.2
0,100,0
16.2,16.2,35.1
0,0,100
9.6,0,38.3
0,0,0
14.3,12.6,35.3
0,13.7,29.6
0,0,0
0,37.7,44.8
33.8,0,66.2
0,31.5,23.9
0,29.1,41.4
0,0,26.4
6,31.5,44.6
5.2,19.5,40.8
0,64.8,35.2
0,0,0
7.1,28.7,0
0,49.9,50.1
4.2,40.7,23.2
0,24.4,47.3
50,0,0
33.3,0,0
0,0,100
0,28.2,42.5
0,0,33.3
0,28.9,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,12.6,0
0,0,0
33.3,0,0
0,0,0
0,57.2,0
0,0,33.9
0,18.9,46.6
0,18.1,9.4
0,39.8,46.9
0,13.4,45.1
12.6,53.3,21.4
0,0,25.6
3.8,18.5,39.7
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,42.6
100,0,0
2.8,16,63.7
0,42.1,16.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
5.9,28.1,32.5
0,33.3,0
0,28.2,38.4
0,0,40
0,100,0
0,27.3,32.5
3.6,10.2,72.8
4.1,19.3,35.1
4.9,36.8,7.4
7.5,12.9,42.9
0,25.3,58.1
0,0,33.3
0,0,0
0,68.5,11.4
0,0,100
0,25.1,0
0,0,0
0,50,0
0,24.4,18.4
0,37.2,34.8
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,0
0,0,0
0,0,49.9
0,0,16.8
0,0,15.9
0,100,0
0,49.7,50.3
0,12.5,60.4
0,0,29.5
0,49.6,16.4
6.7,16.9,43.3
11.3,37.8,0
0,51.1,48.9
0,0,0
11.3,20,30.9
0,72.1,0
0,18.4,35.9
0,0,100
17.6,16.2,50
10.7,12.5,42.7
0,25,0
0,0,0
0,19.7,28.1
0,25,25
0,2.8,36.2
9.8,6.2,66.8
0,0,0
0,13.8,29.2
13.8,6.8,46.3
0,0,0
0,40,0
0,40,40.2
7.8,36.4,22
0,67.9,0
8.7,34.9,23.7
0,0,0
0,42.6,42.3
0,23.3,28.4
0,24.7,24.9
0,0,0
0,0,0
8.6,42.2,27.1
0,0,100
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
6.2,39.7,18.6
0,0,14.8
0,24.3,25.8
0,20.4,21.6
9.8,22,44.5
0,0,53.6
0,37.7,37.5
10.2,19.4,32.7
0,0,80.4
N/A - division par 0,N/A - division par 0,N/A - division par 0
21.9,32.9,22
12.6,32.6,20.9
0,19.5,61
8.8,45.9,9
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,45.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,20.2,10
0,34.7,30.7
0,0,66.3
5.2,17.9,55.8
0,20,80
0,50,0
0,22.6,42.4
0,40,0
0,22.3,21.9
0,16,50.9
0,19.7,46.8
0,0,62
33.3,0,0
0,0,60.9
0,33.9,32.2
0,100,0
0,24.9,48.4
0,28.6,28.4
50.7,49.3,0
6.3,32.8,22.8
6.8,53.2,15.7
0,8.6,45.3
13.7,35.5,16.3
0,21.9,55.9
0,0,0
0,0,57.4
0,14.4,56.8
0,3,69.9
0,0,33.2
0,100,0
0,21.9,33.4
0,0,0
0,20.1,59.7
32.5,37,0
0,0,0
0,0,80.4
0,16.2,30.3
9.5,23,36.7
0,9.5,53.2
0,33.4,0
9.3,48.8,26.4
0,50,0
21.9,18.4,19.6
80,0,20
0,0,34.1
0,31.1,36.6
0,0,0
0,11.1,29.6
N/A - division par 0,N/A - division par 0,N/A - division par 0
4.4,13.7,45.3
0,0,37.3
0,20,59.4
0,13.6,15
0,16.6,16.7
13.1,50.2,13.8
3.4,24.1,36.6
0,11.9,11.6
11.8,28.3,36.6
3.1,25.8,30.3
33.3,33.3,0
0,100,0
0,66.7,0
0,0,0
0,0,0
0,0,100
50.7,0,0
0,54.1,0
0,0,33.5
13.5,14.1,45.7
6.7,31.9,28.1
0,25,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,0
14.6,19.9,39.9
9.5,12.8,46.1
33.3,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
4.5,14.6,57.5
5.4,20.1,56.4
15.2,48.7,7.2
0,49.2,0
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
21.1,18.9,29.2
0,100,0
33.3,0,0
0,22.6,55.1
8.5,32.3,30.2
0,40.2,19.6
12.3,12.8,62.5
50.5,0,24.8
0,0,33.3
0,93.7,0
14.3,22.3,33.9
0,0,25.9
0,50,0
6.3,21.8,22
0,15.1,38.5
0,0,33.9
0,31.8,56.8
0,16.5,50.7
0,67,33
0,0,100
9.2,18.2,42.2
0,0,0
7.4,41.9,4.6
0,0,0
0,20.2,42.3
12.6,31.5,27.3
0,0,50.9
0,38.6,15.8
0,0,40
0,0,25.4
16.4,29.3,22.4
0,66,0
6.1,35.8,9
0,0,100
9.1,46.4,19
10.1,20.7,10.3
0,21.1,10.8
0,0,49
0,27.4,27.4
0,15.8,26.2
0,25.7,35.3
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
9,36.2,21.2
0,0,0
0,14,43.1
0,0,31.2
0,100,0
9.6,20.7,34.5
7.8,7.6,23.4
6.2,47.2,12
0,22.1,0
10.7,30.3,44
0,21,7.9
6.7,32.5,20.9
0,28,32.6
0,21.1,5.6
8.1,16.2,25
6.9,20.7,6.8
27.9,0,29
9,27.5,35.3
0,33.5,66.5
0,0,35.8
0,0,100
16.7,8.3,16.7
11.7,13.4,48
5.7,18.7,26.6
0,33.4,20.7
0,0,43.5
16.6,28.3,13.8
9.3,33.5,24.4
9.9,0,34.9
3.5,13.8,48.9
4.2,23.8,17
9.5,18,28.8
0,34.4,32.2
5.2,26.6,28.7
0,44.8,13
5.5,0,28.7
0,33.3,34.6
0,0,28.4
6.8,25.8,33.8
0,0,9.6
9.4,41.3,18.4
0,16.4,32.6
6.9,11.9,46.4
0,8.6,17.1
0,27.1,20
0,20.1,8
0,30.4,29.3
14.1,30.2,24
7.3,16.8,37.5
0,21.5,28
5.8,19.4,30.7
0,0,0
11.1,32.1,19.6
0,0,43.3
0,0,16.7
13,13,12.4
7.9,32.9,20.8
4.2,51.8,17
34.8,17.4,0
5.6,31.8,23.4
0,11.5,9.1
0,0,12.3
0,10.6,22
0,18.3,36.6
11.3,16,45.1
0,0,54.9
19.4,17.3,34
4.4,21.9,25.9
0,61.1,19.2
11.2,29.8,17.8
9.4,9.9,18.4
0,16.9,32.5
0,32.5,0
0,38.8,22.2
0,0,40.1
0,51,16.4
0,28,12.9
0,31.7,14.6
3.9,35.6,20.6
24.4,24.4,0
8.8,18.1,37.4
0,19.7,21
0,33.1,0
0,21,0
7.9,7.7,30.2
0,58.7,0
9.4,24.6,34.4
6.9,30.3,30.5
8.7,46.1,24.6
4.2,30,30.6
5.4,20.6,46.4
5.1,13.8,30.7
0,34.8,0
25.3,0,0
11.9,0,35.1
5.5,0,51.3
21.2,18.3,29.3
9.8,15.9,49.3
6.8,17.4,42.4
13.4,29.2,24.6
7.2,28.4,50.1
26.8,37.4,18
13.2,33.5,17.4
7.5,20.9,8
5.8,20.5,34.8
7.8,32.3,25.1
8.4,25.7,36.6
9.3,46.5,20.2
9.7,24.7,15.5
0,0,46.9
11.3,23,16
3.7,42.6,15.7
14,26.2,33.2
10,21,44.1
1.4,7.5,73.5
6.8,33.2,32.9
6,6.1,17.7
12.7,6.1,6.2
0,0,44
10.1,10.1,9.7
0,0,100
0,20,14.5
10,29.6,26.6
0,6.1,12.7
0,21,12.6
0,14.7,23.2
11.6,0,13
7.5,0,47.6
0,0,19.3
8.6,20,34.2
11.8,41,9.6
11,20.1,21.6
0,0,37.5
0,24.8,0
4.4,18.3,37.3
9.3,27.1,16.9
0,44.2,11.5
0,25.1,24.8
6,6.2,35.4
0,49.7,37.4
0,100,0
7.4,26.1,34.6
0,43.3,0
7.2,39.1,13.2
0,45.5,21.4
19.7,19.7,0
0,0,0
0,21.3,10.8
16.7,33.5,0
0,25.1,23.2
0,24.9,25.2
0,50.1,24.8
10.7,22.4,32.7
0,41.8,0
0,100,0
0,19.6,33.9
0,7.9,15.9
7.2,28.5,29
3.2,20.6,32.2
2.8,6,62.3
6.3,22.6,13.4
7.6,24,36
11.3,11.1,19.3
9.1,37.2,9.9
0,12.4,50.3
0,30.1,17.7
0,0,33.4
10.7,33,13.1
0,0,39.9
0,16.6,16.6
8.4,32.8,32.9
0,14.5,14.2
0,12.4,13.1
0,0,11.9
0,0,20
2.5,21.2,55.5
15.4,8.6,39.2
0,0,41.5
7.4,15.5,38.6
0,0,37.1
0,23.9,0
9.1,36.6,26.9
9.4,26,31
0,0,27.8
12.4,11.8,0
8.4,54.3,16.3
0,15.7,16.4
12,36.7,19.7
9.6,28.8,37.1
18.9,51.8,10.8
0,32.1,0
0,37.3,7.5
13.8,37,13.9
12.5,49.3,25.4
9.2,36.7,9.2
6.8,33.3,33.3
0,0,33.3
9,35.9,11
0,22,10.6
2.4,36.2,24.2
0,50.2,0
15.1,27,29.4
0,13,33.1
0,53.7,7.5
